URL_ID,URL,TITLE,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,AI in healthcare to Improve Patient Outcomes,0,0,0.0,0.0,26.12987012987013,21.819085487077533,19.179582246779063,26.12987012987013,439,2012,1.5889662027833005,1,5.160039761431412
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,What if the Creation is Taking Over the Creator?,0,0,0.0,0.0,20.525,14.494518879415349,14.007807551766138,20.525,238,1642,1.289890377588307,6,4.302679658952497
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,What Jobs Will Robots Take From Humans in The Future?,0,0,0.0,0.0,22.55294117647059,20.657276995305164,17.2840872687103,22.55294117647059,396,1917,1.5367762128325508,3,4.912363067292644
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,Will Machine Replace The Human in the Future of Work?,0,0,0.0,0.0,19.294736842105262,13.966175668303327,13.304365004163436,19.294736842105262,256,1833,1.363884342607747,18,4.42607746863066
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,Will AI Replace Us or Work With Us?,0,0,0.0,0.0,25.075949367088608,15.951539626451288,16.41099559741596,25.075949367088608,316,1981,1.392226148409894,16,4.608278647147905
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,Will machine replace the human in the future of work?,0,0,0.0,0.0,23.34375,15.127175368139223,15.388370147255689,23.34375,226,1494,1.3386880856760377,21,4.48995983935743
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,How humans and machines are evolving to work together?,0,0,0.0,0.0,18.68888888888889,17.8359096313912,14.609919408112034,18.68888888888889,150,841,1.38525564803805,7,4.564803804994055
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,How machine learning will affect your business?,0,0,0.0,0.0,22.80555555555556,12.423873325213156,14.091771552307485,22.80555555555556,102,821,1.292326431181486,2,4.381242387332521
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,Deep learning impact on areas of e-learning?,0,0,0.0,0.0,29.82716049382716,16.39072847682119,18.48715558825934,29.82716049382716,396,2416,1.3977649006622517,11,4.508278145695364
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,How to protect future data and its privacy?,0,0,0.0,0.0,23.048076923076923,14.977054651647894,15.210052629889928,23.048076923076923,359,2397,1.3462661660408843,0,4.408427200667501
